,date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
86,2020/2/20,65_84,3,,,,,,,,,,,0,,,,,,9316000
87,2020/2/20,85+,1,,,,,,,,,,,0,,,,,,1457000
88,2020/2/21,00_17,1,,,,,,,,,,,0,,,,,,10117000
89,2020/2/21,18_64,28,,,,,,,,,,,1,,,,,,36139000
90,2020/2/21,65_84,4,,,,,,,,,,,1,,,,,,9316000
91,2020/2/21,85+,1,,,,,,,,,,,0,,,,,,1457000
92,2020/2/22,00_17,1,,,,,,,,,,,0,,,,,,10117000
93,2020/2/22,18_64,28,,,,,,,,,,,0,,,,,,36139000
94,2020/2/22,65_84,4,,,,,,,,,,,0,,,,,,9316000
95,2020/2/22,85+,1,,,,,,,,,,,0,,,,,,1457000
96,2020/2/23,00_17,1,,,,,,,,,,,0,,,,,,10117000
97,2020/2/23,18_64,31,,,,,,,,,,,3,,,,,,36139000
98,2020/2/23,65_84,5,,,,,,,,,,,1,,,,,,9316000
99,2020/2/23,85+,3,,,,,,,,,,,2,,,,,,1457000
100,2020/2/24,00_17,1,,,,,,,,,,,0,,,,,,10117000
101,2020/2/24,18_64,33,,,,,,,,,,,2,,,,,,36139000
102,2020/2/24,65_84,5,,,,,,,,,,,0,,,,,,9316000
103,2020/2/24,85+,3,,,,,,,,,,,0,,,,,,1457000
104,2020/2/25,00_17,1,,,,,,,,,,,0,,,,,,10117000
105,2020/2/25,18_64,35,,,,,,,,,,,2,,,,,,36139000
106,2020/2/25,65_84,5,,,,,,,,,,,0,,,,,,9316000
107,2020/2/25,85+,4,,,,,,,,,,,1,,,,,,1457000
108,2020/2/26,00_17,1,,,,,,,,,,,0,,,,,,10117000
109,2020/2/26,18_64,36,,,,,,,,,,,1,,,,,,36139000
110,2020/2/26,65_84,5,,,,,,,,,,,0,,,,,,9316000
111,2020/2/26,85+,4,,,,,,,,,,,0,,,,,,1457000
112,2020/2/27,00_17,1,,,,,,,,,,,0,,,,,,10117000
113,2020/2/27,18_64,43,,,,,,,,,,,7,,,,,,36139000
114,2020/2/27,65_84,5,,,,,,,,,,,0,,,,,,9316000
115,2020/2/27,85+,4,,,,,,,,,,,0,,,,,,1457000
116,2020/2/28,00_17,1,,,,,,,,,,,0,,,,,,10117000
117,2020/2/28,18_64,52,,,,,,,,,,,9,,,,,,36139000
118,2020/2/28,65_84,6,,,,,,,,,,,1,,,,,,9316000
119,2020/2/28,85+,5,,,,,,,,,,,1,,,,,,1457000
120,2020/2/29,00_17,2,,,,,,,,,,,1,,,,,,10117000
121,2020/2/29,18_64,55,,,,,,,,,,,3,,,,,,36139000
122,2020/2/29,65_84,6,,,,,,,,,,,0,,,,,,9316000
123,2020/2/29,85+,5,,,,,,,,,,,0,,,,,,1457000
124,2020/3/1,00_17,2,,,,,,,,,,,0,,,,,,10117000
125,2020/3/1,18_64,71,,,,,,,,,,,16,,,,,,36139000
126,2020/3/1,65_84,8,,,,,,,,,,,2,,,,,,9316000
127,2020/3/1,85+,5,,,,,,,,,,,0,,,,,,1457000
128,2020/3/2,00_17,2,,0,,,,,,,,,0,,,,,,10117000
129,2020/3/2,18_64,107,,0,,,,,,,,,36,,,,,,36139000
130,2020/3/2,65_84,12,,0,,,,,,,,,4,,,,,,9316000
131,2020/3/2,85+,5,,1,,,,,,,,,0,,,,,,1457000
132,2020/3/3,00_17,5,,0,,,,,,,,,3,0,,,,,10117000
133,2020/3/3,18_64,149,,0,,,,,,,,,42,0,,,,,36139000
134,2020/3/3,65_84,18,,1,,,,,,,,,6,1,,,,,9316000
135,2020/3/3,85+,6,,2,,,,,,,,,1,1,,,,,1457000
136,2020/3/4,00_17,7,,0,,,,,,,,,2,0,,,,,10117000
