date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
12/21/2020,85+,80848,47671,24595,237899,18371,20,0,0,0,0,0,1066,224,475,27402,20805,,1457000
12/22/2020,00_17,313765,2955,38,22,2,1,0,0,0,0,0,6350,0,40,288398,2776,,10117000
12/22/2020,18_64,1339828,71581,5930,212282,25176,6815,50,36,6,0,0,30982,42,784,1172545,62242,,36139000
12/22/2020,65_84,197885,93458,30824,213554,25221,2471,11,1,0,0,0,3311,241,911,90292,58183,,9316000
12/22/2020,85+,81853,48139,24804,270046,32147,20,0,0,0,0,0,1005,209,468,27867,21042,,1457000
12/23/2020,00_17,319530,2981,38,25,3,1,0,0,0,0,0,5765,0,26,293725,2801,,10117000
12/23/2020,18_64,1368430,72301,5961,242116,29834,6841,26,39,3,0,0,28602,31,720,1198384,62897,,36139000
12/23/2020,65_84,200971,94259,31065,235404,21850,2476,5,3,2,0,0,3086,241,801,92356,58705,,9316000
12/23/2020,85+,82713,48554,25014,295329,25283,20,0,0,0,0,0,860,210,415,28250,21227,,1457000
12/24/2020,00_17,323882,3006,38,26,1,1,0,0,0,0,0,4352,0,25,297741,2824,,10117000
12/24/2020,18_64,1390378,72965,6006,256311,14195,6845,4,41,2,0,0,21948,45,664,1218100,63484,,36139000
12/24/2020,65_84,203299,94990,31299,241548,6144,2476,0,3,0,0,0,2328,234,731,93787,59167,,9316000
12/24/2020,85+,83341,48917,25224,301472,6143,20,0,0,0,0,0,628,210,363,28471,21363,,1457000
12/25/2020,00_17,325494,3029,38,26,0,1,0,0,0,0,0,1612,0,23,299215,2846,,10117000
12/25/2020,18_64,1400080,73715,6048,256519,208,6848,3,42,1,0,0,9702,42,750,1226359,64156,,36139000
12/25/2020,65_84,204551,95769,31575,241585,37,2476,0,3,0,0,0,1252,276,779,94171,59633,,9316000
12/25/2020,85+,83695,49299,25446,301498,26,20,0,0,0,0,0,354,222,382,28417,21505,,1457000
12/26/2020,00_17,330718,3058,38,26,0,1,0,0,0,0,0,5224,0,29,304037,2874,,10117000
12/26/2020,18_64,1428678,74574,6111,258163,1644,6853,5,42,0,0,0,28598,63,859,1252055,64911,,36139000
12/26/2020,65_84,207420,96687,31843,241707,122,2477,1,3,0,0,0,2869,268,918,95917,60239,,9316000
12/26/2020,85+,84426,49776,25686,301530,32,20,0,0,0,0,0,731,240,477,28619,21719,,1457000
12/27/2020,00_17,336530,3105,38,26,0,1,0,0,0,0,0,5812,0,47,309387,2919,,10117000
12/27/2020,18_64,1461965,75598,6165,262618,4455,6854,1,42,0,0,0,33287,54,1024,1281940,65833,,36139000
12/27/2020,65_84,210701,97679,32140,242099,392,2477,0,3,0,0,0,3281,297,992,97971,60887,,9316000
12/27/2020,85+,85264,50278,25918,301670,140,20,0,0,0,0,0,838,232,502,28895,21965,,1457000
12/28/2020,00_17,341742,3153,38,26,0,1,0,0,0,0,0,5212,0,48,314178,2964,,10117000
12/28/2020,18_64,1493122,76650,6220,270393,7775,6863,9,44,2,0,0,31157,55,1052,1309820,66780,,36139000
12/28/2020,65_84,214185,98791,32422,243021,922,2477,0,3,0,0,0,3484,282,1112,100095,61664,,9316000
12/28/2020,85+,86166,50837,26173,302057,387,20,0,0,0,0,0,902,255,559,29174,22243,,1457000
12/29/2020,00_17,351307,3190,38,27,1,1,0,0,0,0,0,9565,0,37,323023,3000,,10117000
12/29/2020,18_64,1549482,77747,6273,294126,23733,8310,1447,47,3,0,0,56360,53,1097,1361057,67771,,36139000
12/29/2020,65_84,220365,99939,32693,253337,10316,2883,406,3,0,0,0,6180,271,1148,104685,62487,,9316000
12/29/2020,85+,88043,51414,26430,312743,10686,404,384,0,0,0,0,1877,257,577,30340,22535,,1457000
12/30/2020,00_17,359875,3227,40,33,6,1,0,0,0,0,0,8568,2,37,330942,3033,,10117000
12/30/2020,18_64,1598119,78872,6329,340067,45941,11224,2914,49,2,0,0,48637,56,1125,1405095,68787,,36139000
12/30/2020,65_84,225921,101018,33001,280840,27503,3606,723,3,0,0,0,5556,308,1079,108765,63206,,9316000
12/30/2020,85+,89468,52011,26692,341411,28668,1016,612,0,0,0,0,1425,262,597,31066,22842,,1457000
12/31/2020,00_17,366305,3259,41,39,6,1,0,0,0,0,0,6430,1,32,336881,3062,,10117000
12/31/2020,18_64,1634091,79844,6406,382310,42243,14148,2924,56,7,0,0,35972,77,972,1437526,69635,,36139000
