phase,age_group,var_name,count,mean,std,min,0.250000000 ,0.500000000 ,0.750000000 ,max
phase4,00_17,lambda,265,0.000854600 ,0.000870559 ,0.000186039 ,0.000311132 ,0.000442300 ,0.001455535 ,0.003691758 
phase4,00_17,mu,265,0.000016300 ,0.000034700 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000257202 
phase4,00_17,p,265,0.000649891 ,0.000515250 ,0.000008150 ,0.000255576 ,0.000522533 ,0.000876435 ,0.003257771 
phase4,18_64,alpha,265,0.000046400 ,0.000027800 ,0.000009750 ,0.000024800 ,0.000041400 ,0.000060100 ,0.000160383 
phase4,18_64,lambda,265,0.000778800 ,0.000656626 ,0.000140321 ,0.000234674 ,0.000333608 ,0.001097849 ,0.002784538 
phase4,18_64,mu,265,0.000072000 ,0.000043600 ,0.000007950 ,0.000038300 ,0.000060500 ,0.000101467 ,0.000189577 
phase4,18_64,p,265,0.000673221 ,0.000824951 ,0.000030800 ,0.000125377 ,0.000305266 ,0.000902707 ,0.003868993 
phase4,65_84,alpha,265,0.000586756 ,0.000284523 ,0.000146398 ,0.000355265 ,0.000548480 ,0.000746970 ,0.001574442 
phase4,65_84,lambda,265,0.000413000 ,0.000495265 ,0.000105839 ,0.000177005 ,0.000251627 ,0.000828061 ,0.002100260 
phase4,65_84,mu,265,0.000372551 ,0.000182927 ,0.000049400 ,0.000251054 ,0.000355094 ,0.000484687 ,0.000835433 
phase4,65_84,p,265,0.000526569 ,0.000728270 ,0.000015700 ,0.000165599 ,0.000253161 ,0.000406717 ,0.003724033 
phase4,85_,alpha,265,0.002205694 ,0.001109051 ,0.000509576 ,0.001278647 ,0.002048537 ,0.002933783 ,0.005230887 
phase4,85_,lambda,265,0.000479000 ,0.000373557 ,0.000079800 ,0.000133507 ,0.000189791 ,0.000624572 ,0.001584137 
phase4,85_,mu,265,0.000986182 ,0.000576221 ,0.000156454 ,0.000560748 ,0.000833545 ,0.001347160 ,0.002410566 
phase4,85_,p,265,0.000254826 ,0.000273106 ,0.000000000 ,0.000091900 ,0.000150348 ,0.000317781 ,0.001586386 
